id_gene,id_string,gene,Cyte_vs_Gonia,Tid_vs_Cyte,logCPM_CyteGonia,logFC_CyteGonia,FDR_CyteGonia,logCPM_TidCyte,logFC_TidCyte,FDR_TidCyte,biotype
ENSG00000007516,9606.ENSP00000324510,BAIAP3,True,True,4.77783731459994,-0.40536256791204,0.709713855194881,4.04780757878836,-6.10436129994972,0.000304649282183712,protein_coding
ENSG00000011426,9606.ENSP00000265748,ANLN,True,True,5.69383014111097,0.6583075540972501,0.334579704646132,5.518137987141781,-2.51910357989834,0.00367583637214754,protein_coding
ENSG00000014164,9606.ENSP00000262577,ZC3H3,True,True,5.73467736448983,1.75547468641303,0.0148698484917565,5.734853205797732,-4.679854354314731,0.000110707030165602,protein_coding
ENSG00000015413,9606.ENSP00000376807,DPEP1,True,True,4.3027815290909,1.04348661660493,0.34735562300085,4.18373985761729,-4.978759396661781,0.000397383656147896,protein_coding
ENSG00000033867,9606.ENSP00000295736,SLC4A7,True,True,5.27117411844961,-0.493686131771906,0.5046309684163189,4.47765179180638,-3.99937288988882,0.00042158185060300803,protein_coding
ENSG00000050438,9606.ENSP00000405812,SLC4A8,True,True,8.37209391396631,1.89983531690012,0.000314210529496513,8.587070555024,-2.07358084412091,0.00224357353288362,protein_coding
ENSG00000055147,9606.ENSP00000341597,FAM114A2,True,True,5.70404857462279,-0.334414437158944,0.729083293083483,5.049392339617951,-3.7603127993076497,0.00171636407021258,protein_coding
ENSG00000063244,9606.ENSP00000307863,U2AF2,True,True,3.22191079457265,-0.43325358701835903,0.665589469261432,2.5481564860509502,-3.6535457756197296,0.00349168327293455,protein_coding
ENSG00000066322,9606.ENSP00000477602,ELOVL1,True,True,4.36638538191638,-1.16670515779509,0.319772710055169,3.17141046850313,-8.84511523105612,9.08870202388784e-05,protein_coding
ENSG00000067113,9606.ENSP00000264775,PLPP1,True,True,3.47606267997672,-0.7883925623821271,0.467194949069686,2.56204667210027,-4.53371749948935,0.00239886895169278,protein_coding
ENSG00000073060,9606.ENSP00000261693,SCARB1,True,True,6.2191468013271605,0.8365952861722329,0.306682121383952,6.020392681273942,-3.48226566746615,7.17717374181842e-05,protein_coding
